Unnamed: 0,Name,Team(s),Matches,Runs,Bat Avg,Wickets,Bowl Avg
431,R M Patidar,RCB,12,404,40.4,0,
432,D T  Patil,RCB,2,13,6.5,0,
433,J L Pattinson,MIN,10,15,15.0,11,29.09
434,K M A Paul,DDV,8,18,3.6,9,26.33
435,A G  Paunikar,RRO,5,49,9.8,0,
436,R  Pawar,MIN,1,0,,0,
437,M D K J Perera,RRO,2,14,7.0,0,
438,N L T C Perera,"CSK, KTK, MIN, SUN, KXI, RPS",37,422,19.18,31,32.77
439,R J Peterson,MIN,5,32,10.67,3,23.33
440,J R Philippe,RCB,5,78,19.5,0,
441,G D Phillips,"RRO, SUN",8,65,9.29,2,20.0
442,K P Pietersen,"RCB, DDV, RPS",36,1001,37.07,7,30.71
443,L E Plunkett,DDV,7,1,1.0,4,56.25
444,K A Pollard,MIN,189,3412,28.67,69,31.26
445,S M Pollock,MIN,13,147,18.38,11,27.36
446,L A Pommersbach,"KXI, RCB",17,302,27.45,0,
447,R T Ponting,"KKR, MIN",10,91,10.11,0,
448,N Pooran,"KXI, SUN, LSG",62,1270,27.02,0,
449,A Porel,DDV,4,33,8.25,0,
450,I C Porel,KXI,1,0,,1,39.0
451,R R Powar,"KXI, KTK",27,67,22.33,13,40.54
